exerciseId,name,nameEn,mediaStatus,tier,confidence,sourceId,sourceName,projectEquipment,sourceEquipment,primaryMuscleCompatibility,conflictSummary,recommendedAction,startImageUrl,peakImageUrl
band-lateral-raise,弹力带侧平举,Band Lateral Raise,missing,manual-review,0.741,Lateral_Raise_-_With_Bands,Lateral Raise - With Bands,弹力带,bands,1.000,,按人工接受结果进入后续接入清单,https://raw.githubusercontent.com/yuhonas/free-exercise-db/b0eed061e1c832b3ed815fbaa4b45b3cdc14df49/exercises/Lateral_Raise_-_With_Bands/0.jpg,https://raw.githubusercontent.com/yuhonas/free-exercise-db/b0eed061e1c832b3ed815fbaa4b45b3cdc14df49/exercises/Lateral_Raise_-_With_Bands/1.jpg
band-lateral-walk,弹力带侧向行走,Band Lateral Walk,missing,unmatched,0.460,Monster_Walk,Monster Walk,弹力带,bands,1.000,发力方向冲突：push ≠ pull,保留为独立制图或补充其他数据源,https://raw.githubusercontent.com/yuhonas/free-exercise-db/b0eed061e1c832b3ed815fbaa4b45b3cdc14df49/exercises/Monster_Walk/0.jpg,https://raw.githubusercontent.com/yuhonas/free-exercise-db/b0eed061e1c832b3ed815fbaa4b45b3cdc14df49/exercises/Monster_Walk/1.jpg
band-pull-apart,弹力带水平拉开,Band Pull-apart,missing,manual-review,0.827,Band_Pull_Apart,Band Pull Apart,弹力带,bands,0.333,,按人工接受结果进入后续接入清单,https://raw.githubusercontent.com/yuhonas/free-exercise-db/b0eed061e1c832b3ed815fbaa4b45b3cdc14df49/exercises/Band_Pull_Apart/0.jpg,https://raw.githubusercontent.com/yuhonas/free-exercise-db/b0eed061e1c832b3ed815fbaa4b45b3cdc14df49/exercises/Band_Pull_Apart/1.jpg
band-row,弹力带划船,Band Row,missing,unmatched,0.545,Inverted_Row,Inverted Row,弹力带,,0.500,,保留为独立制图或补充其他数据源,https://raw.githubusercontent.com/yuhonas/free-exercise-db/b0eed061e1c832b3ed815fbaa4b45b3cdc14df49/exercises/Inverted_Row/0.jpg,https://raw.githubusercontent.com/yuhonas/free-exercise-db/b0eed061e1c832b3ed815fbaa4b45b3cdc14df49/exercises/Inverted_Row/1.jpg
band-shoulder-press,弹力带肩推,Band Shoulder Press,missing,manual-review,0.741,Shoulder_Press_-_With_Bands,Shoulder Press - With Bands,弹力带,bands,1.000,,按人工接受结果进入后续接入清单,https://raw.githubusercontent.com/yuhonas/free-exercise-db/b0eed061e1c832b3ed815fbaa4b45b3cdc14df49/exercises/Shoulder_Press_-_With_Bands/0.jpg,https://raw.githubusercontent.com/yuhonas/free-exercise-db/b0eed061e1c832b3ed815fbaa4b45b3cdc14df49/exercises/Shoulder_Press_-_With_Bands/1.jpg
band-straight-arm-pulldown,弹力带直臂下拉,Band Straight-arm Pulldown,missing,unmatched,0.494,Straight-Arm_Pulldown,Straight-Arm Pulldown,弹力带,cable,1.000,器械冲突：bands ≠ cable,保留为独立制图或补充其他数据源,https://raw.githubusercontent.com/yuhonas/free-exercise-db/b0eed061e1c832b3ed815fbaa4b45b3cdc14df49/exercises/Straight-Arm_Pulldown/0.jpg,https://raw.githubusercontent.com/yuhonas/free-exercise-db/b0eed061e1c832b3ed815fbaa4b45b3cdc14df49/exercises/Straight-Arm_Pulldown/1.jpg
bar-hang,单杠悬垂,Dead Hang,missing,unmatched,0.451,Superman,Superman,单杠,body only,0.400,,保留为独立制图或补充其他数据源,https://raw.githubusercontent.com/yuhonas/free-exercise-db/b0eed061e1c832b3ed815fbaa4b45b3cdc14df49/exercises/Superman/0.jpg,https://raw.githubusercontent.com/yuhonas/free-exercise-db/b0eed061e1c832b3ed815fbaa4b45b3cdc14df49/exercises/Superman/1.jpg
barbell-bench-press,杠铃卧推,Barbell Bench Press,missing,manual-review,0.847,Barbell_Bench_Press_-_Medium_Grip,Barbell Bench Press - Medium Grip,杠铃 / 卧推凳,barbell,1.000,,在 review.html 对比前三候选后再决定,https://raw.githubusercontent.com/yuhonas/free-exercise-db/b0eed061e1c832b3ed815fbaa4b45b3cdc14df49/exercises/Barbell_Bench_Press_-_Medium_Grip/0.jpg,https://raw.githubusercontent.com/yuhonas/free-exercise-db/b0eed061e1c832b3ed815fbaa4b45b3cdc14df49/exercises/Barbell_Bench_Press_-_Medium_Grip/1.jpg
barbell-clean-and-press,杠铃翻举推举,Barbell Clean and Press,missing,manual-review,0.804,Clean_and_Press,Clean and Press,杠铃,barbell,0.500,,按人工接受结果进入后续接入清单,https://raw.githubusercontent.com/yuhonas/free-exercise-db/b0eed061e1c832b3ed815fbaa4b45b3cdc14df49/exercises/Clean_and_Press/0.jpg,https://raw.githubusercontent.com/yuhonas/free-exercise-db/b0eed061e1c832b3ed815fbaa4b45b3cdc14df49/exercises/Clean_and_Press/1.jpg
barbell-curl,杠铃弯举,Barbell Curl,complete,already-covered,1.000,Barbell_Curl,Barbell Curl,杠铃,barbell,1.000,,按人工接受结果进入后续接入清单,https://raw.githubusercontent.com/yuhonas/free-exercise-db/b0eed061e1c832b3ed815fbaa4b45b3cdc14df49/exercises/Barbell_Curl/0.jpg,https://raw.githubusercontent.com/yuhonas/free-exercise-db/b0eed061e1c832b3ed815fbaa4b45b3cdc14df49/exercises/Barbell_Curl/1.jpg
barbell-floor-press,杠铃地板卧推,Barbell Floor Press,missing,manual-review,0.561,Barbell_Guillotine_Bench_Press,Barbell Guillotine Bench Press,杠铃,barbell,1.000,关键变式不一致：未注明 ≠ guillotine,在 review.html 对比前三候选后再决定,https://raw.githubusercontent.com/yuhonas/free-exercise-db/b0eed061e1c832b3ed815fbaa4b45b3cdc14df49/exercises/Barbell_Guillotine_Bench_Press/0.jpg,https://raw.githubusercontent.com/yuhonas/free-exercise-db/b0eed061e1c832b3ed815fbaa4b45b3cdc14df49/exercises/Barbell_Guillotine_Bench_Press/1.jpg
barbell-good-morning,杠铃早安式,Barbell Good Morning,missing,manual-review,0.814,Stiff_Leg_Barbell_Good_Morning,Stiff Leg Barbell Good Morning,杠铃 / 深蹲架,barbell,1.000,,按人工接受结果进入后续接入清单,https://raw.githubusercontent.com/yuhonas/free-exercise-db/b0eed061e1c832b3ed815fbaa4b45b3cdc14df49/exercises/Stiff_Leg_Barbell_Good_Morning/0.jpg,https://raw.githubusercontent.com/yuhonas/free-exercise-db/b0eed061e1c832b3ed815fbaa4b45b3cdc14df49/exercises/Stiff_Leg_Barbell_Good_Morning/1.jpg
barbell-hip-thrust,杠铃臀推,Barbell Hip Thrust,complete,already-covered,1.000,Barbell_Hip_Thrust,Barbell Hip Thrust,杠铃 / 卧推凳,barbell,1.000,,按人工接受结果进入后续接入清单,https://raw.githubusercontent.com/yuhonas/free-exercise-db/b0eed061e1c832b3ed815fbaa4b45b3cdc14df49/exercises/Barbell_Hip_Thrust/0.jpg,https://raw.githubusercontent.com/yuhonas/free-exercise-db/b0eed061e1c832b3ed815fbaa4b45b3cdc14df49/exercises/Barbell_Hip_Thrust/1.jpg
barbell-overhead-press,站姿杠铃推举,Standing Barbell Overhead Press,missing,manual-review,0.561,Standing_Military_Press,Standing Military Press,杠铃,barbell,1.000,关键变式不一致：overhead ≠ military,按人工接受结果进入后续接入清单,https://raw.githubusercontent.com/yuhonas/free-exercise-db/b0eed061e1c832b3ed815fbaa4b45b3cdc14df49/exercises/Standing_Military_Press/0.jpg,https://raw.githubusercontent.com/yuhonas/free-exercise-db/b0eed061e1c832b3ed815fbaa4b45b3cdc14df49/exercises/Standing_Military_Press/1.jpg
barbell-reverse-wrist-curl,杠铃伸腕,Barbell Reverse Wrist Curl,missing,manual-review,0.754,Reverse_Barbell_Curl,Reverse Barbell Curl,杠铃,barbell,0.400,,在 review.html 对比前三候选后再决定,https://raw.githubusercontent.com/yuhonas/free-exercise-db/b0eed061e1c832b3ed815fbaa4b45b3cdc14df49/exercises/Reverse_Barbell_Curl/0.jpg,https://raw.githubusercontent.com/yuhonas/free-exercise-db/b0eed061e1c832b3ed815fbaa4b45b3cdc14df49/exercises/Reverse_Barbell_Curl/1.jpg
barbell-row,杠铃划船,Barbell Row,complete,already-covered,1.000,Bent_Over_Barbell_Row,Bent Over Barbell Row,杠铃,barbell,0.500,,保留现有本地 start/peak，无需下载,https://raw.githubusercontent.com/yuhonas/free-exercise-db/b0eed061e1c832b3ed815fbaa4b45b3cdc14df49/exercises/Bent_Over_Barbell_Row/0.jpg,https://raw.githubusercontent.com/yuhonas/free-exercise-db/b0eed061e1c832b3ed815fbaa4b45b3cdc14df49/exercises/Bent_Over_Barbell_Row/1.jpg
barbell-shrug,杠铃耸肩,Barbell Shrug,complete,already-covered,1.000,Barbell_Shrug,Barbell Shrug,杠铃,barbell,1.000,,按人工接受结果进入后续接入清单,https://raw.githubusercontent.com/yuhonas/free-exercise-db/b0eed061e1c832b3ed815fbaa4b45b3cdc14df49/exercises/Barbell_Shrug/0.jpg,https://raw.githubusercontent.com/yuhonas/free-exercise-db/b0eed061e1c832b3ed815fbaa4b45b3cdc14df49/exercises/Barbell_Shrug/1.jpg
barbell-thruster,杠铃深蹲推举,Barbell Thruster,missing,manual-review,0.620,Barbell_Lunge,Barbell Lunge,杠铃,barbell,0.500,,在 review.html 对比前三候选后再决定,https://raw.githubusercontent.com/yuhonas/free-exercise-db/b0eed061e1c832b3ed815fbaa4b45b3cdc14df49/exercises/Barbell_Lunge/0.jpg,https://raw.githubusercontent.com/yuhonas/free-exercise-db/b0eed061e1c832b3ed815fbaa4b45b3cdc14df49/exercises/Barbell_Lunge/1.jpg
barbell-wrist-curl,杠铃屈腕,Barbell Wrist Curl,missing,manual-review,0.611,Palms-Up_Barbell_Wrist_Curl_Over_A_Bench,Palms-Up Barbell Wrist Curl Over A Bench,杠铃,barbell,0.400,,按人工接受结果进入后续接入清单,https://raw.githubusercontent.com/yuhonas/free-exercise-db/b0eed061e1c832b3ed815fbaa4b45b3cdc14df49/exercises/Palms-Up_Barbell_Wrist_Curl_Over_A_Bench/0.jpg,https://raw.githubusercontent.com/yuhonas/free-exercise-db/b0eed061e1c832b3ed815fbaa4b45b3cdc14df49/exercises/Palms-Up_Barbell_Wrist_Curl_Over_A_Bench/1.jpg
battle-rope-slams,战绳双臂砸绳,Battle Rope Slams,missing,unmatched,0.450,Rope_Crunch,Rope Crunch,战绳,cable,0.500,,保留为独立制图或补充其他数据源,https://raw.githubusercontent.com/yuhonas/free-exercise-db/b0eed061e1c832b3ed815fbaa4b45b3cdc14df49/exercises/Rope_Crunch/0.jpg,https://raw.githubusercontent.com/yuhonas/free-exercise-db/b0eed061e1c832b3ed815fbaa4b45b3cdc14df49/exercises/Rope_Crunch/1.jpg
behind-back-cable-lateral-raise,身后绳索侧平举,Behind-the-back Cable Lateral Raise,missing,unmatched,0.535,Front_Cable_Raise,Front Cable Raise,绳索器械,cable,1.000,关键变式不一致：behind ≠ front,保留为独立制图或补充其他数据源,https://raw.githubusercontent.com/yuhonas/free-exercise-db/b0eed061e1c832b3ed815fbaa4b45b3cdc14df49/exercises/Front_Cable_Raise/0.jpg,https://raw.githubusercontent.com/yuhonas/free-exercise-db/b0eed061e1c832b3ed815fbaa4b45b3cdc14df49/exercises/Front_Cable_Raise/1.jpg
behind-back-wrist-curl,身后杠铃屈腕,Behind-the-back Barbell Wrist Curl,missing,unmatched,0.543,Standing_Palms-Up_Barbell_Behind_The_Back_Wrist_Curl,Standing Palms-Up Barbell Behind The Back Wrist Curl,杠铃,barbell,0.400,身体姿态不一致：未注明 ≠ standing,保留为独立制图或补充其他数据源,https://raw.githubusercontent.com/yuhonas/free-exercise-db/b0eed061e1c832b3ed815fbaa4b45b3cdc14df49/exercises/Standing_Palms-Up_Barbell_Behind_The_Back_Wrist_Curl/0.jpg,https://raw.githubusercontent.com/yuhonas/free-exercise-db/b0eed061e1c832b3ed815fbaa4b45b3cdc14df49/exercises/Standing_Palms-Up_Barbell_Behind_The_Back_Wrist_Curl/1.jpg
belt-squat,腰带深蹲,Belt Squat,missing,manual-review,0.645,Dumbbell_Squat,Dumbbell Squat,腰带深蹲机,dumbbell,1.000,,在 review.html 对比前三候选后再决定,https://raw.githubusercontent.com/yuhonas/free-exercise-db/b0eed061e1c832b3ed815fbaa4b45b3cdc14df49/exercises/Dumbbell_Squat/0.jpg,https://raw.githubusercontent.com/yuhonas/free-exercise-db/b0eed061e1c832b3ed815fbaa4b45b3cdc14df49/exercises/Dumbbell_Squat/1.jpg
bench-dip,凳上臂屈伸,Bench Dip,missing,manual-review,0.551,Bench_Dips,Bench Dips,自重 / 卧推凳,body only,1.000,,按人工接受结果进入后续接入清单,https://raw.githubusercontent.com/yuhonas/free-exercise-db/b0eed061e1c832b3ed815fbaa4b45b3cdc14df49/exercises/Bench_Dips/0.jpg,https://raw.githubusercontent.com/yuhonas/free-exercise-db/b0eed061e1c832b3ed815fbaa4b45b3cdc14df49/exercises/Bench_Dips/1.jpg
bent-over-reverse-fly,俯身飞鸟,Bent-over Reverse Fly,missing,manual-review,0.561,Reverse_Flyes,Reverse Flyes,哑铃,dumbbell,1.000,,按人工接受结果进入后续接入清单,https://raw.githubusercontent.com/yuhonas/free-exercise-db/b0eed061e1c832b3ed815fbaa4b45b3cdc14df49/exercises/Reverse_Flyes/0.jpg,https://raw.githubusercontent.com/yuhonas/free-exercise-db/b0eed061e1c832b3ed815fbaa4b45b3cdc14df49/exercises/Reverse_Flyes/1.jpg
bicycle-crunch,自行车卷腹,Bicycle Crunch,missing,manual-review,0.626,Gorilla_Chin_Crunch,Gorilla Chin/Crunch,自重,body only,1.000,,在 review.html 对比前三候选后再决定,https://raw.githubusercontent.com/yuhonas/free-exercise-db/b0eed061e1c832b3ed815fbaa4b45b3cdc14df49/exercises/Gorilla_Chin_Crunch/0.jpg,https://raw.githubusercontent.com/yuhonas/free-exercise-db/b0eed061e1c832b3ed815fbaa4b45b3cdc14df49/exercises/Gorilla_Chin_Crunch/1.jpg
bilateral-dumbbell-row,双臂哑铃划船,Bilateral Dumbbell Row,missing,manual-review,0.645,Bent_Over_Two-Dumbbell_Row,Bent Over Two-Dumbbell Row,哑铃,dumbbell,0.500,,按人工接受结果进入后续接入清单,https://raw.githubusercontent.com/yuhonas/free-exercise-db/b0eed061e1c832b3ed815fbaa4b45b3cdc14df49/exercises/Bent_Over_Two-Dumbbell_Row/0.jpg,https://raw.githubusercontent.com/yuhonas/free-exercise-db/b0eed061e1c832b3ed815fbaa4b45b3cdc14df49/exercises/Bent_Over_Two-Dumbbell_Row/1.jpg
bird-dog,鸟狗式,Bird Dog,missing,manual-review,0.561,Lower_Back_Curl,Lower Back Curl,自重,body only,1.000,,在 review.html 对比前三候选后再决定,https://raw.githubusercontent.com/yuhonas/free-exercise-db/b0eed061e1c832b3ed815fbaa4b45b3cdc14df49/exercises/Lower_Back_Curl/0.jpg,https://raw.githubusercontent.com/yuhonas/free-exercise-db/b0eed061e1c832b3ed815fbaa4b45b3cdc14df49/exercises/Lower_Back_Curl/1.jpg
bulgarian-split-squat,保加利亚分腿蹲,Bulgarian Split Squat,missing,manual-review,0.809,Suspended_Split_Squat,Suspended Split Squat,哑铃 / 卧推凳,other,1.000,,在 review.html 对比前三候选后再决定,https://raw.githubusercontent.com/yuhonas/free-exercise-db/b0eed061e1c832b3ed815fbaa4b45b3cdc14df49/exercises/Suspended_Split_Squat/0.jpg,https://raw.githubusercontent.com/yuhonas/free-exercise-db/b0eed061e1c832b3ed815fbaa4b45b3cdc14df49/exercises/Suspended_Split_Squat/1.jpg
burpee,波比跳,Burpee,missing,unmatched,0.498,Isometric_Wipers,Isometric Wipers,自重,body only,0.500,,保留为独立制图或补充其他数据源,https://raw.githubusercontent.com/yuhonas/free-exercise-db/b0eed061e1c832b3ed815fbaa4b45b3cdc14df49/exercises/Isometric_Wipers/0.jpg,https://raw.githubusercontent.com/yuhonas/free-exercise-db/b0eed061e1c832b3ed815fbaa4b45b3cdc14df49/exercises/Isometric_Wipers/1.jpg
cable-chest-fly,绳索夹胸,Cable Chest Fly,missing,manual-review,0.601,Cable_Crossover,Cable Crossover,绳索器械,cable,1.000,,按人工接受结果进入后续接入清单,https://raw.githubusercontent.com/yuhonas/free-exercise-db/b0eed061e1c832b3ed815fbaa4b45b3cdc14df49/exercises/Cable_Crossover/0.jpg,https://raw.githubusercontent.com/yuhonas/free-exercise-db/b0eed061e1c832b3ed815fbaa4b45b3cdc14df49/exercises/Cable_Crossover/1.jpg
cable-curl,绳索弯举,Cable Curl,missing,manual-review,0.662,Overhead_Cable_Curl,Overhead Cable Curl,绳索器械,cable,1.000,关键变式不一致：未注明 ≠ overhead,在 review.html 对比前三候选后再决定,https://raw.githubusercontent.com/yuhonas/free-exercise-db/b0eed061e1c832b3ed815fbaa4b45b3cdc14df49/exercises/Overhead_Cable_Curl/0.jpg,https://raw.githubusercontent.com/yuhonas/free-exercise-db/b0eed061e1c832b3ed815fbaa4b45b3cdc14df49/exercises/Overhead_Cable_Curl/1.jpg
cable-front-raise,绳索前平举,Cable Front Raise,complete,already-covered,1.000,Front_Cable_Raise,Front Cable Raise,绳索器械,cable,1.000,,按人工接受结果进入后续接入清单,https://raw.githubusercontent.com/yuhonas/free-exercise-db/b0eed061e1c832b3ed815fbaa4b45b3cdc14df49/exercises/Front_Cable_Raise/0.jpg,https://raw.githubusercontent.com/yuhonas/free-exercise-db/b0eed061e1c832b3ed815fbaa4b45b3cdc14df49/exercises/Front_Cable_Raise/1.jpg
cable-hip-abduction,绳索髋外展,Cable Hip Abduction,missing,unmatched,0.588,Thigh_Abductor,Thigh Abductor,绳索器械,machine,1.000,,保留为独立制图或补充其他数据源,https://raw.githubusercontent.com/yuhonas/free-exercise-db/b0eed061e1c832b3ed815fbaa4b45b3cdc14df49/exercises/Thigh_Abductor/0.jpg,https://raw.githubusercontent.com/yuhonas/free-exercise-db/b0eed061e1c832b3ed815fbaa4b45b3cdc14df49/exercises/Thigh_Abductor/1.jpg
cable-hip-adduction,绳索髋内收,Cable Hip Adduction,missing,manual-review,0.590,Cable_Hip_Adduction,Cable Hip Adduction,绳索器械,cable,0.000,主练肌群冲突：adductors ≠ quadriceps,按人工接受结果进入后续接入清单,https://raw.githubusercontent.com/yuhonas/free-exercise-db/b0eed061e1c832b3ed815fbaa4b45b3cdc14df49/exercises/Cable_Hip_Adduction/0.jpg,https://raw.githubusercontent.com/yuhonas/free-exercise-db/b0eed061e1c832b3ed815fbaa4b45b3cdc14df49/exercises/Cable_Hip_Adduction/1.jpg
cable-kickback,绳索后踢腿,Cable Glute Kickback,missing,manual-review,0.662,One-Legged_Cable_Kickback,One-Legged Cable Kickback,绳索器械,cable,1.000,侧别/交替方式不一致：未注明 ≠ unilateral,按人工接受结果进入后续接入清单,https://raw.githubusercontent.com/yuhonas/free-exercise-db/b0eed061e1c832b3ed815fbaa4b45b3cdc14df49/exercises/One-Legged_Cable_Kickback/0.jpg,https://raw.githubusercontent.com/yuhonas/free-exercise-db/b0eed061e1c832b3ed815fbaa4b45b3cdc14df49/exercises/One-Legged_Cable_Kickback/1.jpg
cable-lateral-raise,绳索侧平举,Cable Lateral Raise,missing,unmatched,0.599,Front_Cable_Raise,Front Cable Raise,绳索器械,cable,1.000,关键变式不一致：未注明 ≠ front,保留为独立制图或补充其他数据源,https://raw.githubusercontent.com/yuhonas/free-exercise-db/b0eed061e1c832b3ed815fbaa4b45b3cdc14df49/exercises/Front_Cable_Raise/0.jpg,https://raw.githubusercontent.com/yuhonas/free-exercise-db/b0eed061e1c832b3ed815fbaa4b45b3cdc14df49/exercises/Front_Cable_Raise/1.jpg
cable-overhead-triceps-extension,绳索过顶臂屈伸,Cable Overhead Triceps Extension,missing,manual-review,0.714,Cable_Rope_Overhead_Triceps_Extension,Cable Rope Overhead Triceps Extension,绳索器械,cable,1.000,关键变式不一致：overhead ≠ overhead/rope,按人工接受结果进入后续接入清单,https://raw.githubusercontent.com/yuhonas/free-exercise-db/b0eed061e1c832b3ed815fbaa4b45b3cdc14df49/exercises/Cable_Rope_Overhead_Triceps_Extension/0.jpg,https://raw.githubusercontent.com/yuhonas/free-exercise-db/b0eed061e1c832b3ed815fbaa4b45b3cdc14df49/exercises/Cable_Rope_Overhead_Triceps_Extension/1.jpg
cable-pull-through,绳索胯下拉,Cable Pull-through,missing,manual-review,0.839,Pull_Through,Pull Through,绳索器械,cable,1.000,,按人工接受结果进入后续接入清单,https://raw.githubusercontent.com/yuhonas/free-exercise-db/b0eed061e1c832b3ed815fbaa4b45b3cdc14df49/exercises/Pull_Through/0.jpg,https://raw.githubusercontent.com/yuhonas/free-exercise-db/b0eed061e1c832b3ed815fbaa4b45b3cdc14df49/exercises/Pull_Through/1.jpg
cable-rear-delt-row,绳索后束划船,Cable Rear Delt Row,missing,unmatched,0.485,Low_Pulley_Row_To_Neck,Low Pulley Row To Neck,绳索器械,cable,1.000,关键变式不一致：rear ≠ 未注明,保留为独立制图或补充其他数据源,https://raw.githubusercontent.com/yuhonas/free-exercise-db/b0eed061e1c832b3ed815fbaa4b45b3cdc14df49/exercises/Low_Pulley_Row_To_Neck/0.jpg,https://raw.githubusercontent.com/yuhonas/free-exercise-db/b0eed061e1c832b3ed815fbaa4b45b3cdc14df49/exercises/Low_Pulley_Row_To_Neck/1.jpg
cable-reverse-wrist-curl,绳索伸腕,Cable Reverse Wrist Curl,missing,manual-review,0.754,Reverse_Cable_Curl,Reverse Cable Curl,绳索器械,cable,0.400,,在 review.html 对比前三候选后再决定,https://raw.githubusercontent.com/yuhonas/free-exercise-db/b0eed061e1c832b3ed815fbaa4b45b3cdc14df49/exercises/Reverse_Cable_Curl/0.jpg,https://raw.githubusercontent.com/yuhonas/free-exercise-db/b0eed061e1c832b3ed815fbaa4b45b3cdc14df49/exercises/Reverse_Cable_Curl/1.jpg
